augeas_n	m
augmen	n
augur	m
augurale	n
auguratus	m
augurinus_n	???
augurium	n
augustales_n	3
augusta_n	f
augustiani_n	???
augustodunum_n	n
augustus_n	*
auia	f
auiarium	n
auidienus_n	m
auiditas	f
auidius_n	*
auienus_n	*
auillius_n	4
auiola_n	2
auiones_n	m
auis	f
auitus_n	*
auium	n
aulaeum	n
aula_1	f
aula_2	f
aulerci_n	*
aulis_n	f
auloedus	m
aulus_n	*
aunus_n	m
auocamentum	n
auocatio	f
aura	f
auraria	f
aura_n	f
aurelia_n	f
aurelius_n	*
aureus_1	m
auria_n	2
aurichalcum	???
auricilla	f
auricula	f
aurifex	m
auriga	m
auris	f
aurius_n	*
aurora	f
aurora_n	f
aurum	n
aurunca_n	f
aurunci_n	???
aurunculeia_n	2
aurunculeius_n	???
ausci_n	*
auscultatio	f
ausetani_n	*
ausonia_n	f
ausonidae_n	???
ausonii_n	*
auspex	m
auspex_n	m
auspicium	n
auster	m
austeritas	f
auster_n	m
ausum	n
ausus	m
authepsa	f
autobulus_n	m
autolycus_n	m
automatum	n
automedon_n	m
autopyros	???
autronius_n	*
autumnitas	f
autumnus_1	*
autumnus_n	*
auunculus	m
auus	m
auxiliares	m
auxiliarii	m
auxiliator	m
auxiliatus	m
auxilium	n
auximates_n	???
auximum_n	n
auzea_n	f
axia_n	f
axicia	f
axis	m
axona_n	f
babaecalus	m
baba_n	m
babylonia_n	f
babylonicum	n
babylonicum_n	n
babylonii_n	*
babylon_n	f
bacalusiae	f
bacca	f
baccar	n
bacchanal	n
bacchanalia	n
bacchanalia_n	n
bacchatio	f
baccha_n	f
bacchis_n	f
bacchius_n	*
bacchus_n	m
bacciballum	n
bacenis_n	???
bacillum	n
bactra_n	n
bactriana_n	f
bactriani_n	*
bactrus_n	m
baculum	???
baculus_n	m
baduhenna_n	2
baebius_n	*
baetasii_n	*
baetica_n	f
baetici_n	*
baetis_n	???
baeturia_n	f
bagistanes_n	???
bagoas_n	m
bagophanes_n	m
bagrada_n	m
baiae_n	f
baius_n	*
balacrus_n	m
balaena	f
balantes	???
balanus	m
balatro	m
balatro_n	m
balatus	m
balbillus_n	*
balbinus_n	m
balbus_n	m
balbutius_n	4
baleares_n	2
balearicus_n	*
balineae	2
balineum	n
balineus	4
baliscus	*
ballio_n	m
ballista	2
balnearia	n
balneator	m
balneolum	n
balsamum	n
balteum	???
balteus	m
baluentius_n	m
bambalio_n	m
bandusia_n	???
baptae_n	m
baptisterium	n
barathrum	n
barba	m
barbaria	f
barbarismus	m
barbarum	n
barbarus_1	*
barbatius_n	*
barbatoria	f
barba_n	m
barbius_n	4
barbula	f
barcaei_n	???
barcala	f
barditus	m
bardylis_n	???
barea_n	m
bargates_n	???
barium_n	n
baro	m
barrus	m
barrus_n	m
barsine_n	f
barzaentes_n	3
bascauda	f
basiatio	f
basilica	f
basilicum	n
basilicus_1	*
basilides_n	m
basiliscus_n	m
basilus_n	m
basiolum	n
basis	m
basium	n
bassaris_n	f
bassus_n	*
bastarnae_n	m
bataui_n	*
batauodurum_n	n
bathyllus_n	m
battiades_n	m
battus_n	m
batulum_n	n
baucis_n	f
bauius_n	*
bauli_n	*
bazaira_n	???
beatitudo	f
beatum	???
bedriacum_n	n
belgae_n	m
belgica_n	f
belgium_n	n
belica_n	2
belides_n	m
belides_n	m
belis_n	m
belitae_n	m
belius_n	4
bellator	m
bellatrix	f
bellerophontes_n	m
bellerophontes_n	m
bellica_n	f
bellicum	n
bellienus_n	???
bellona_n	f
bellouaci_n	*
bellua	???
bellum	n
bellum_n	n
bellus_n	*
belua	f
belus_n	m
benacus_n	m
benedictum	n
benefactum	n
beneficentia	f
beneficiarius_1	*
beneficium	n
beneuentum_n	n
beneuolentia	f
benignitas	f
benignus_n	*
berbex	???
berecyntia_n	???
beroea_n	f
berones_n	2
beryllus	*
berytus_n	f
bes	m
bessi_n	*
bessus_n	*
bestia	m
bestiarius_1	m
bestia_n	m
bestius_n	*
betaceus_1	*
beta_1	f
betilienus_n	4
betis_n	f
betuus_n	4
biae_n	2
bianor_n	m
bias_n	m
bibaculus_n	m
biberarius	m
bibliopola	m
bibliotheca	f
bibracte_n	n
bibrax_n	f
bibroci_n	*
bibula_n	???
bibulus_n	m
biclinium	n
bicorniger_n	m
bidens_1	f
bidental	n
bidini_n	???
bidis_n	???
biduum	n
biennium	n
bifurcum	n
biga	f
bigerriones_n	m
biiugi	???
bilis	*
bimaritus	*
bimembres_n	???
bingium_n	n
binoctium	n
bipalium	n
bipennis_1	*
bipes_1	*
biremis_1	*
birrius_n	*
bisaltae_n	m
bison	m
bissacius	4
bistones_n	m
bistonides_n	f
bithus_n	m
bithynia_n	f
bithynicus_n	masculin
bithynis_n	???
bithyni_n	*
bitias_n	m
biton_n	???
bittius_n	*
bitumen	n
bituriges_n	m
biuium	n
biuius_n	m
blaesus_n	*
blandimentum	n
blanditia	f
blanditia_n	f
blandus_n	*
blatta	f
blepharon_n	n
blesamius_n	m
bliteum	neutre
blitius_n	*
blossius_n	*
boccar_n	m
bocchoris_n	m
bocchus_n	m
boculus_n	m
bodotria_n	f
boduognatus_n	m
boeotia_n	f
boeotii_n	*
boeoti_n	*
boethus_n	m
bogud_n	m
boia	f
boihaemum_n	n
boii_n	*
boiocalus_n	m
bolanus_n	*
bola_n	f
boletatio	f
boletus	m
bolus	m
bombus	m
bombyx	2
